,PRES16,PRES12,SEN16,SEN12,FTV,Pass?
PA_Proportional_DIST,-0.0035,-0.0284,-0.0072,-0.0655,4,Y
PA_Compact_DIST,0.1076,0.0827,0.2151,0.0456,1,N
PA_compact_algorithm_DIST,0.1631,0.0827,0.1595,-0.0099,1,N
PA_Dem_DIST,-0.0035,-0.0284,-0.0072,-0.0655,4,Y
PA_GOP_DIST,0.2187,0.1938,0.2151,0.1012,0,N
PA_Competitive_DIST,0.052,-0.1396,0.104,-0.1766,1,N
PA_current_DIST,0.1631,0.2493,0.2706,0.0456,1,N
