,PRES16,PRES12,SEN16,SEN12,FTV,Pass?
CD_2011,-1.1904,-0.8781,-1.6819,-1.1771,0,N
TS,-1.1904,-1.0447,-1.6819,-1.1216,0,N
REMEDIAL,-1.3015,-1.1003,-1.7375,-1.2327,0,N
GOV,-1.2459,-0.9892,-1.8486,-1.2882,0,N
PA_Proportional_DIST,-1.357,-1.1558,-1.9597,-1.2882,0,N
PA_Dem_DIST,-1.357,-1.1558,-1.9597,-1.2882,0,N
PA_GOP_DIST,-1.1348,-0.9336,-1.7375,-1.1216,0,N
