stat,SEN16,PRES16,PRES12,SEN12,AG14,GOV14,GOV10,SEN10,AG16
vote_share,0.5072,0.5035,0.4729,0.4544,0.4258,0.4510,0.5452,0.5105,0.4857
propor_seats,0.5072,0.5035,0.4729,0.4544,0.4258,0.4510,0.5452,0.5105,0.4857
2propor_seats,9.2575,9.1272,8.0240,7.3568,6.3296,7.2368,10.6272,9.3787,8.4866
seats,18,18,18,18,18,18,18,18,18
seat_share,0.7778,0.6667,0.7222,0.5000,0.2778,0.5556,0.7778,0.7222,0.6667
propor_score,0.2706,0.1631,0.2493,0.0456,-0.1480,0.1045,0.2326,0.2117,0.1809
