plan	var	mean	proportionality_vector
CD_2011	0.015309635567267046	0.145603410024972	[0.2706243414156251, 0.16313242946562734, 0.24933316738582006, 0.04564379643445704, -0.14804457186973735, 0.10453303316413431, 0.23257856473637717, 0.21170195857003815, 0.18092797092240664]
REMEDIAL	0.009627418987721428	0.059183656938552286	[0.2150687858600694, 0.05202131835451629, 0.0271109451635978, -0.009911759121098374, -0.09248901631418166, 0.04897747760857879, 0.17702300918082137, 0.15614640301448257, -0.04129425129981551]
GOV	0.008487225709068368	0.07152933595089804	[0.10395767474895834, 0.10757687391007165, 0.13822205627470902, -0.06546731467665395, -0.03693346075862586, -0.06213363350253226, 0.1770230091808216, 0.15614640301448268, 0.12537241536685118]
TS	0.014059987940506731	0.11473921249410785	[0.2706243414156251, 0.16313242946562734, 0.08266650071915321, 0.10119935199001273, -0.14804457186973713, 0.04897747760857862, 0.23257856473637717, 0.21170195857003804, 0.06981685981129565]
538DEM	0.001449590546983163	-0.01489041713552178	[-0.007153436362153043, -0.003534237201039292, -0.028444610391957892, -0.06546731467665395, -0.036933460758626024, -0.062133633502532315, 0.06591189806971054, -0.010520263652184059, 0.014261304255740015]
538GOP	0.012887842850616846	0.14560341002497204	[0.2150687858600695, 0.2186879850211828, 0.19377761183026443, 0.10119935199001273, -0.14804457186973718, 0.10453303316413431, 0.17702300918082148, 0.21170195857003826, 0.2364835264779621]
538CMPCT	0.007317253999134515	0.09622069397558938	[0.2150687858600695, 0.10757687391007187, 0.0826665007191531, 0.04564379643445737, -0.036933460758626024, -0.006578077946976735, 0.17702300918082148, 0.21170195857003826, 0.0698168598112956]
