,PRES16,PRES12,SEN18,SEN14,FTV,Pass?
PLANC185_DIST,-2.7832,-3.3233,-3.1268,-4.7779,0,N
CD,-2.8665,-3.3511,-3.1545,-4.7779,0,N
TX_Proportional_DIST,-2.9221,-3.4622,-3.1823,-4.889,0,N
TX_Dem_DIST,-3.0332,-3.6011,-3.2934,-4.9168,0,N
TX_GOP_DIST,-2.7554,-3.3511,-2.9879,-4.7779,0,N
