stat,PRES12,SEN12,AG14,GOV14,SEN14,PRES16,AG18,GOV18,SEN18
vote_share,0.580,0.582,0.607,0.604,0.642,0.547,0.518,0.568,0.513
propor_seats,0.580,0.582,0.607,0.604,0.642,0.547,0.518,0.568,0.513
2propor_seats,23.104,23.207,25.018,24.760,27.422,20.798,18.768,22.236,18.409
seats,35,35,35,35,35,35,35,35,35
Rseats,30,30,31,31,31,20,13,27,12
Rseat_share,0.857,0.857,0.886,0.886,0.886,0.571,0.371,0.771,0.343
disprop,0.277,0.276,0.278,0.282,0.244,0.024,-0.147,0.204,-0.170
