stat,PRES12,SEN12,AG14,GOV14,SEN14,PRES16,AG18,GOV18,SEN18
vote_share,0.5801,0.5815,0.6074,0.6037,0.6417,0.5471,0.5181,0.5677,0.5130
propor_seats,0.5801,0.5815,0.6074,0.6037,0.6417,0.5471,0.5181,0.5677,0.5130
2propor_seats,23.7644,23.8695,25.7325,25.4678,28.2059,21.3917,19.3044,22.8711,18.9345
seats,36,36,36,36,36,36,36,36,36
seat_share,0.6944,0.6944,0.6944,0.6944,0.7222,0.6111,0.5833,0.6944,0.5556
propor_score,0.1144,0.1129,0.0870,0.0907,0.0805,0.0640,0.0652,0.1268,0.0426
