plan	var	mean	proportionality_vector
CD	0.0007595168091670214	0.09582493076290634	[0.11438378980755903, 0.11292293314068713, 0.08047038070562307, 0.08704802932904898, 0.08677105337038582, 0.09072538523757279, 0.06223594458788939, 0.09414153927848556, 0.080474160759619, 0.06400353680004, 0.08626987932444152, 0.06521693078254864, 0.14371424552124246, 0.12678996939580112, 0.14024339354901616, 0.08646179800224896, 0.04257598487486047, 0.1465731575760515, 0.11414072222179217, 0.07916524785313317, 0.10799546390298587]
Seed_Demo	0.002957996194870779	0.06540165033962589	[0.08660601202978124, 0.08514515536290934, 0.10824815848340086, 0.11482580710682677, 0.11454883114816361, 0.11850316301535058, 0.14556927792122276, 0.09414153927848556, 0.13602971631517458, 0.008447981244484426, -0.024841231786669637, -0.018116402550784727, 0.03260313441013141, 0.07123441384024554, 0.02913228243790511, -0.024649313108862203, -0.012979570680695107, 0.035462046464940444, 0.05858516666623659, 0.10694302563091096, 0.10799546390298587]
538_Dem	0.001244151803206226	-0.11581528087730535	[-0.13561621019244097, -0.13707706685931287, -0.14175184151659914, -0.16295197067095102, -0.16322894662961418, -0.1592746147624272, -0.04887516652322166, -0.15585846072151444, -0.058414728129269844, -0.10266312986662673, -0.08039678734222522, -0.07367195810634031, -0.10628575447875754, -0.12321003060419888, -0.10975660645098384, -0.08020486866441778, -0.06853512623625069, -0.1034268424239485, -0.13585927777820783, -0.14305697436908904, -0.14200453609701413]
538_Comp_1	0.0024648184557897615	0.045560380498356055	[0.08660601202978124, 0.11292293314068713, 0.08047038070562307, 0.08704802932904898, 0.08677105337038582, 0.09072538523757279, 0.06223594458788939, 0.09414153927848556, 0.080474160759619, 0.008447981244484426, -0.024841231786669637, -0.018116402550784727, -0.022952421145424173, 0.04345663606246786, -0.02642327311765047, 0.003128464668915587, -0.012979570680695107, -0.020093509090615136, 0.05858516666623659, 0.07916524785313317, 0.10799546390298587]
538_Propor	0.0002472293625247088	0.004555089493065098	[0.0032726786964479837, 0.0018118220295760823, -0.0028629526277101913, 0.003714695995715722, 0.0034377200370525607, 0.007392051904239527, -0.021097388745443868, -0.016969571832625485, -0.030636950351492054, 0.008447981244484426, 0.0029365459911081526, 0.009661375226993063, 0.03260313441013141, 0.015678858284690067, 0.02913228243790511, 0.003128464668915587, 0.014798207097082683, 0.035462046464940444, 0.0030296111106811185, -0.00416808548020009, -0.003115647208125183]
Seed3	0.001724901303914679	-0.0007359157979402268	[-0.024505099081329806, -0.025965955748201708, 0.08047038070562307, 0.0314924737734934, 0.03121549781483024, -0.020385725873538263, 0.09001372236566718, -0.044747349610403275, 0.080474160759619, -0.019329796533293364, -0.024841231786669637, -0.018116402550784727, -0.022952421145424173, -0.03987669727086551, -0.02642327311765047, -0.024649313108862203, -0.012979570680695107, -0.020093509090615136, -0.02474816666709667, 0.05138747007535538, -0.030893424985902973]
