,PRES16,PRES12,SEN18,SEN14,FTV,Pass?
CD,0.064,0.1144,0.0426,0.0805,2,N
Seed_Demo,0.0084,0.0866,-0.013,0.136,2,N
538_Dem,-0.1027,-0.1356,-0.0685,-0.0584,2,N
538_Comp_1,0.0084,0.0866,-0.013,0.0805,2,N
538_Propor,0.0084,0.0033,0.0148,-0.0306,4,Y
Seed3,-0.0193,-0.0245,-0.013,0.0805,3,Y
