,PRES16,PRES12,SEN18,SEN14,FTV,Pass?
TX_Proportional_DIST,0.0084,0.0033,0.0148,-0.0306,4,Y
TX_Compact_DIST,0.0084,0.0866,-0.013,0.0805,2,N
TX_compact_algorithm_DIST,0.0362,0.0866,-0.0408,0.1083,2,N
TX_Dem_DIST,-0.1027,-0.1356,-0.0963,-0.0584,1,N
TX_GOP_DIST,0.1751,0.1144,0.2092,0.0805,0,N
TX_Competitive_DIST,-0.0471,0.1144,-0.1796,0.2471,1,N
TX_current_DIST,0.064,0.1144,0.0426,0.0805,2,N
