plan	var	mean	proportionality_vector
newplan	0.012164663881975568	0.18671835859676533	[0.055498623864005336, -0.07212061219606392, 0.20905969169035954, 0.21055401231144744, 0.2584099017860575, 0.2608833144770202, 0.2494697085411095, 0.23900749355306905, 0.26970309334388337]
oldplan	0.0022627708470514614	0.23800040987881665	[0.13242170078708232, 0.3124947724193207, 0.20905969169035954, 0.21055401231144744, 0.2584099017860575, 0.2608833144770202, 0.2494697085411095, 0.23900749355306905, 0.26970309334388337]
judge	0.015710048565358944	0.06706023893864566	[-0.1752706069052254, -0.14904368911914084, 0.13213661476728256, 0.13363093538837045, 0.10456374793990364, 0.1839602375539432, 0.09562355469495565, 0.16208441662999207, 0.11585693949772952]
