stat,GOV08,SEN08,SEN10,GOV12,PRES12,SEN14,PRES16,SEN16,GOV16
vote_share,0.4830,0.4567,0.5602,0.5587,0.5108,0.5083,0.5198,0.5302,0.4995
propor_seats,0.4830,0.4567,0.5602,0.5587,0.5108,0.5083,0.5198,0.5302,0.4995
2propor_seats,6.0570,5.3751,8.0644,8.0256,6.7813,6.7170,7.0138,7.2858,6.4877
seats,13,13,13,13,13,13,13,13,13
seat_share,0.5385,0.3846,0.7692,0.7692,0.7692,0.7692,0.7692,0.7692,0.7692
propor_score,0.0555,-0.0721,0.2091,0.2106,0.2584,0.2609,0.2495,0.2390,0.2697
