,PRES16,PRES12,SEN18,SEN16,FTV,Pass?
MD_Proportional_DIST,-0.0531,-0.0346,0.1236,0.0177,4,Y
MD_Compact_DIST,-0.0531,-0.0346,0.1236,0.0177,4,Y
MD_compact_algorithm_DIST,-0.0531,-0.0346,0.1236,-0.1073,4,Y
MD_Dem_DIST,-0.3031,-0.2846,-0.1264,-0.3573,0,N
MD_GOP_DIST,0.1969,0.2154,-0.0014,0.1427,1,N
MD_Competitive_DIST,-0.1781,-0.1596,-0.1264,-0.2323,0,N
MD_current_DIST,-0.1781,-0.1596,-0.0014,-0.2323,1,N
