plan,disprop_mean,disprop_var,eg_mean,eg_var,ens-discrep_mean,ens-discrep_var
CD,-0.21764728160045083,0.005290709063856633,-0.0852,0.0034061599999999975,-0.047910125000000005,0.004652351005140625
CNG02,-0.11764728160045083,0.0043433718398595,0.014800000000000002,0.00399616,0.052089874999999994,0.005040282255140625
MD_Proportional_DIST,-0.09264728160045084,0.005453030771503064,0.0398,0.0037061600000000013,0.077089875,0.003962694755140625
MD_Dem_DIST,-0.2926472816004509,0.03178272245860171,-0.16019999999999998,0.020801159999999996,-0.12291012500000001,0.02171805100514062
MD_GOP_DIST,-0.030147281600450843,0.02201527024054383,0.10230000000000002,0.017237410000000005,0.139589875,0.012950272880140626
