stat,PRES12,SEN12,GOV14,AG14,COMP14,PRES16,SEN16,SEN18,AG18,COMP18
vote_share,0.3667,0.3197,0.5193,0.4215,0.3724,0.3597,0.3694,0.3183,0.3513,0.2781
propor_seats,0.3667,0.3197,0.5193,0.4215,0.3724,0.3597,0.3694,0.3183,0.3513,0.2781
2propor_seats,1.8670,1.1154,4.3081,2.7447,1.9587,1.7558,1.9098,1.0932,1.6205,0.4504
seats,8,8,8,8,8,8,8,8,8,8
seat_share,0.1250,0.1250,0.5000,0.1250,0.1250,0.1250,0.1250,0.1250,0.1250,0.0000
propor_score,-0.2417,-0.1947,-0.0193,-0.2965,-0.2474,-0.2347,-0.2444,-0.1933,-0.2263,-0.2781
