,PRES16,PRES12,SEN18,SEN16,FTV,Pass?
CD,-0.2347,-0.2417,-0.1933,-0.2444,0,N
CNG02,-0.1097,-0.1167,-0.0683,-0.1194,4,Y
MD_Proportional_DIST,-0.1097,-0.1167,-0.0683,0.0056,4,Y
MD_Dem_DIST,-0.3597,-0.3667,-0.3183,-0.3694,0,N
MD_GOP_DIST,0.1403,0.1333,-0.1933,0.1306,0,N
