,PRES16,PRES12,SEN18,SEN16,FTV,Pass?
CD,-0.0944,-0.1084,-0.0116,-0.1138,4,Y
CNG02,0.0306,0.0166,0.1134,0.0112,4,Y
MD_Proportional_DIST,0.0306,0.0166,0.1134,0.1362,3,Y
MD_Dem_DIST,-0.2194,-0.2334,-0.1366,-0.2388,0,N
MD_GOP_DIST,0.2806,0.2666,-0.0116,0.2612,1,N
