,PRES16,PRES12,SEN18,SEN14,FTV,Pass?
MA_Proportional_DIST,-0.207,-0.042,-0.1385,-0.1497,1,N
MA_Compact_DIST,-0.207,-0.2642,-0.2496,-0.2608,0,N
MA_compact_algorithm_DIST,-0.207,-0.2642,-0.2496,-0.2608,0,N
MA_Dem_DIST,-0.207,-0.2642,-0.2496,-0.2608,0,N
MA_GOP_DIST,-0.207,-0.2642,-0.1385,-0.1497,0,N
MA_Competitive_DIST,-0.207,-0.2642,-0.1385,-0.1497,0,N
MA_current_DIST,-0.207,-0.2642,-0.2496,-0.2608,0,N
