,PRES16,PRES12,SEN18,SEN14,FTV,Pass?
CD,-0.3535,-0.3821,-0.3748,-0.3804,0,N
MA_Proportional_DIST,-0.3535,-0.1599,-0.2637,-0.2693,0,N
MA_Dem_DIST,-0.3535,-0.3821,-0.3748,-0.3804,0,N
MA_GOP_DIST,-0.3535,-0.3821,-0.2637,-0.2693,0,N
