stat,GOV18,SOS18,TRE18,SEN18,PRES16,SEN16,GOV14,SOS14,TRE14,AG14,GOV12,PRES12,SEN12
vote_share,0.4944,0.4721,0.4789,0.4458,0.5041,0.5173,0.5287,0.4807,0.5218,0.5317,0.5342,0.4648,0.4715
propor_seats,0.4944,0.4721,0.4789,0.4458,0.5041,0.5173,0.5287,0.4807,0.5218,0.5317,0.5342,0.4648,0.4715
2propor_seats,3.9107,3.5543,3.6622,3.1330,4.0653,4.2773,4.4594,3.6913,4.3488,4.5075,4.5475,3.4374,3.5437
seats,8,8,8,8,8,8,8,8,8,8,8,8,8
seat_share,0.6250,0.6250,0.6250,0.6250,0.7500,0.7500,0.7500,0.6250,0.6250,0.7500,0.7500,0.6250,0.6250
propor_score,0.1306,0.1529,0.1461,0.1792,0.2459,0.2327,0.2213,0.1443,0.1032,0.2183,0.2158,0.1602,0.1535
