,PRES16,PRES12,SEN18,SEN16,FTV,Pass?
WI_current_DIST,0.2459,0.1602,0.1792,0.2327,0,N
WI_Proportional_DIST,0.1209,0.0352,0.0542,0.1077,4,Y
WI_Dem_DIST,-0.1291,-0.2148,-0.1958,-0.1423,0,N
WI_GOP_DIST,0.2459,0.0352,-0.0708,0.2327,2,N
